SECTION,ROW,X,Y,START SEAT,END SEAT,NOTES
RESERVED,1,1851.529046,775.2913107,,,
RESERVED,2,1834.857574,784.4081415,,,
RESERVED,3,1817.170925,792.8976153,,,
RESERVED,4,1798.688011,799.3260607,,,
RESERVED,5,"1,780.19",805.7296337,,,
RESERVED,6,1761.75989,812.2896484,,,
RESERVED,7,1743.345387,818.9036548,,,
RESERVED,8,1724.931268,825.5212124,,,
RESERVED,9,1706.52112,832.1514867,,,
RESERVED,10,1688.185107,838.9749318,,,
RESERVED,11,1669.850636,845.804351,,,
RESERVED,12,1651.516001,852.6353029,,,
RESERVED,13,1633.181203,859.4677379,,,
RESERVED,14,1614.8792,866.3861272,,,
RESERVED,15,1596.538477,873.2069707,,,
RESERVED,16,1578.146014,879.8971168,,,
RESERVED,17,1559.759499,886.6044203,,,
RESERVED,18,1541.361985,893.2854766,,,
RESERVED,19,1522.843155,899.658488,,,
RESERVED,20,1504.37067,906.152083,,,
RESERVED,21,1485.92174,912.7078133,,,
RESERVED,22,1467.472593,919.2649017,,,
RESERVED,23,1449.032407,925.8466821,,,
RESERVED,24,1430.605557,932.4641985,,,
RESERVED,25,1412.179428,939.0852492,,,
RESERVED,26,1393.787016,945.793667,,,
RESERVED,27,1375.434726,952.6055136,,,
RESERVED,28,1357.091221,959.4410009,,,
RESERVED,29,1338.76543,966.3227033,,,
RESERVED,30,1320.44534,973.2200507,,,
RESERVED,31,1302.125481,980.1191282,,,
RESERVED,32,1283.805846,987.0198909,,,
RESERVED,33,1265.543213,994.0660048,,,
RESERVED,34,1247.317102,1001.205385,,,
RESERVED,35,1229.117675,1008.412981,,,
RESERVED,36,1210.921277,1015.628901,,,
RESERVED,37,1192.72562,1022.847339,,,
RESERVED,38,1174.530685,1030.068231,,,
RESERVED,39,1156.336453,1037.291513,,,
RESERVED,40,1138.19104,1044.638446,,,
RESERVED,41,1120.117625,1052.167213,,,
RESERVED,42,1102.044914,1059.698002,,,
RESERVED,43,1083.973337,1067.231888,,,
RESERVED,44,1065.902866,1074.768794,,,
RESERVED,45,1047.861471,1082.379019,,,
RESERVED,46,1029.887303,1090.158312,,,
RESERVED,47,1011.939701,1098.004297,,,
RESERVED,48,993.9987378,1105.866858,,,
RESERVED,49,976.0586593,1113.731537,,,
RESERVED,50,957.8715041,1120.976521,,,
RESERVED,51,939.4474878,1127.628297,,,
RESERVED,52,921.0121198,1134.252669,,,
RESERVED,53,902.5780218,1140.881264,,,
RESERVED,54,883.6459137,1146.264355,,,
RESERVED,55,864.187798,1150.333555,,,
RESERVED,56,844.7307201,1154.408613,,,
RESERVED,57,825.0477897,1157.922317,,,
RESERVED,58,804.9056166,1159.4069,,,
RESERVED,59,784.552313,1160.168246,,,
RESERVED,60,764.2252735,1161.030194,,,
RESERVED,61,743.5385918,1160.101,,,
RESERVED,62,722.4047037,1156.983988,,,
RESERVED,63,701.3104256,"1,154.06",,,
RESERVED,64,679.4576266,1148.561457,,,
RESERVED,65,657.4316239,1142.528165,,,
RESERVED,66,635.4770055,1136.811093,,,
RESERVED,67,613.101049,1129.70811,,,
RESERVED,68,590.1514532,1120.704977,,,
RESERVED,69,566.7696823,1110.299954,,,
RESERVED,70,544.2337511,1102.874782,,,
,,,,,,
GA,GA,1138.19104,1044.638446,,,